"Block"	"Treat1"	"Treat2"	"Carex_Liparicarpos"	"Carex_Stenophylla"	"Bothriochloa_Ischaemum"	"Bromus_Squarrosus"	"Cleistogenes_Serotina"	"Cynodon_Dactylon"	"Festuca_Vaginata"	"Poa_Bulbosa"	"Secale_Sylvestre"	"Setaria_Pumila"	"Stipa_Borysthenica"	"Tragus_Racemosus"	"Alkanna_Tinctoria"	"Alyssum_Tortuosum"	"Arenaria_Serpyllifolia"	"Artemisia_Campestris"	"Astragalus_Austriacus"	"Bassia_Laniflora"	"Centaurea_Arenaria"	"Chenopodium_Album"	"Chondrilla_Juncea"	"Conyza_Canadensis"	"Corispermum_Nitidum"	"Crepis_Rhoaedifolia"	"Cynoglossum_Officinalis"	"Dianthus_Serotinus"	"Erophyla_Verna"	"Eryngium_Campestre"	"Euphorbia_Cyparissias"	"Euphorbia_Segueriana"	"Fumana_Procumbens"	"Gypsophyla_Paniculata"	"Holosteum_Umbellatum"	"Lithospermum_Arvense"	"Medicago_Minima"	"Minuartia_Glomerata"	"Muscari_Comosum"	"Myosotis_Stricta"	"Plantago_Indica"	"Polygonum_Arenarium"	"Salsola_Kali"	"Scabiosa_Ochroleuca"	"Senecio_Vernalis"	"Silene_Conica"	"Silene_Otites"	"Syrenia_Cana"	"Thymus_Glabrescens"	"Tragopogon_Floccosus"	"Veronica_Praecox"	"Viola_Kitaibeliana"	"Crepis_Tectorum"	"Lactuca_Serriola"	"Linaria_Genistifolia"	"Solidago_Virga.aurea"	"Thesium_Ramosum"	"Bromus_Tectorum"	"Acinos_Arvensis"
"S11"	2	"C"	"W1"	0	0	0	0	0	0	12.8	0	0	0	2.5	0	0	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S12"	2	"C"	"W4"	0	0	0	0	0	0	0.1	0	2.7	0	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.2	2.3	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S13"	2	"X"	"W2"	0	0	0	0	0	0	4.6	0	0	0	2.7	0	0.1	0	0	0	0	0	0.3	0	0	0	0	0.3	0	0	0	0	0	0.5	2.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0
"S14"	2	"X"	"W3"	0	0	0	0	0	0	1.9	0	0.1	0	3	0	0	0	0	0.5	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	0.8	3.3	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S15"	2	"X"	"W1"	0	0	0	0	0	0	6.7	0	0	0	3.3	0	0	0	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.2	1.1	0	0.5	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0
"S16"	2	"X"	"W4"	0	0	0	0	0	0	0	0	2.6	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"S17"	3	"C"	"W2"	0	0	0	0	0	0	12.3	0	0	0	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
"S18"	3	"C"	"W3"	0	0	0	0	0	0	0.3	0	3.3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.2	2.2	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.3	0.1	0	0	0	0	0	0	0	0	0	0	0
"S19"	3	"C"	"W1"	0	0	0	0	0	0	14.1	0	0	0	1.4	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S20"	3	"C"	"W4"	0	0	0	0	0	0	0	0	4.2	0	1	0	3.6	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0	0
"S21"	3	"X"	"W2"	0	0	0	0	0	0	3.8	0	0.6	0	4.1	0	0.4	0	0	0.5	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	1.5	0	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0	0	0.1	0	0
"S22"	3	"X"	"W3"	0	0	0	0	0	0	0	0	5.5	0	2.5	0	0	0	0	1	0	0	0.3	0	0	0	0	0.1	0	0	0	0	0	1.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S23"	3	"X"	"W1"	0	0	0	0	0	0	4.9	0	0.4	0	4.6	0	0.1	0	0	0	0	0	0.8	0	0	0	0	0.2	0	0	0	0	0	0.4	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S24"	3	"X"	"W4"	0	0	0	0	0	0	0	0	7.4	0	0.4	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"S25"	4	"C"	"W2"	0	0	0	0	0	0	8.7	0	0	0	2.9	0	0.5	0	0	0.4	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.4	2.4	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S26"	4	"C"	"W3"	0	0	0	0	0	0	5.2	0	0.1	0	2.4	0	0.1	0	0	1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.3	0.4	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S27"	4	"C"	"W1"	0.4	0	0	0	0	0	14.1	0	0	0	0.8	0	0	0	0	1.7	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S28"	4	"C"	"W4"	0	0	0	0	0	0	0.4	0	3.6	0	1.8	0	1.8	0	0.1	0.1	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.3	0	0	1.3	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0.1	0	0	0	0	0	0	0	0	0
"S29"	4	"X"	"W2"	0	0	0	0	0	0	7.1	0	0.4	0	3.2	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S30"	4	"X"	"W3"	0	0	0	0	0	0	1.9	0	1.7	0	4.4	0	0.3	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S31"	4	"X"	"W1"	0	0	0	0	0	0	4.8	0	0.1	0	3.6	0	0	0	0	1.5	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0.2	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S32"	4	"X"	"W4"	0	0	0	0	0	0	0	0	4.1	0	1.1	0	0.1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0.4	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S33"	5	"C"	"W2"	0	0	0	0	0	0	14.1	0	0	0	1.2	0	0	0	0	0.8	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S34"	5	"C"	"W3"	0	0	0	0	0	0	7.2	0	0	0	3	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S35"	5	"C"	"W1"	0	0	0	0	0	0	16.7	0	0	0	1.8	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S36"	5	"C"	"W4"	0	0	0	0	0	0	1.3	0	0.2	0	2.9	0	0.2	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	1.8	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S37"	5	"X"	"W2"	0	0	0	0	0	0	8.9	0	0	0	2.1	0	0.2	0	0	0	0	0	0.9	0	0.2	0	0	0	0	0	0	0	0	0.1	0	0	0.2	0	0.1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"S38"	5	"X"	"W3"	0	0	0	0	0	0	3.9	0	0.1	0	4	0	0.4	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.9	2.5	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"S39"	5	"X"	"W1"	0	0	0	0	0	0	5.4	0	0.1	0	3.6	0	0.6	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0.7	0	0.1	0.5	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
"S40"	5	"X"	"W4"	0	0	0	0	0	0	0.5	0	1.8	0	2.3	0	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S41"	6	"C"	"W2"	1.1	0	0	0	0	0	4.6	0	0	0	3.5	0	0	0	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0	0	1	0.8	0.1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S42"	6	"C"	"W3"	0	0	0	0	0	0	0.2	0	3.5	0	0.9	0	2.6	0	0	1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"S43"	6	"C"	"W1"	0	0	0	0	0	0	13.9	0	0	0	1	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.1	0	0.4	0	0	0	0	0	0	0	0	0
"S44"	6	"C"	"W4"	0	0	0	0	0	0	0	0	2.7	0	0.6	0	0	0	0.1	0.6	0	0.1	0.1	0	0	0	0	0	0	0.1	0	0	0	0.4	0	0	0.7	0	0	0	0.3	0	0	0	0	0	0	0	0.3	0.1	0	0	0	0	0	0	0	0	0	0	0
"S45"	6	"X"	"W2"	0.6	0	0	0	0	0	1.9	0	0.4	0	2.6	0	0.6	0	0	0.3	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0.5	1.9	0	0.2	0	0	0.8	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S46"	6	"X"	"W3"	0	0	0	0	0	0	0.8	0	2.1	0	1.2	0	0.3	0	0	0	0	0	1.3	0	0	0	0	0	0	0.2	0	0	0	0.9	0.8	0	0.3	0.1	0	1.4	0	0	0	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S47"	6	"X"	"W1"	1.7	0	0	0	0	0	5.3	0	0.4	0	2.2	0	0	0	0	0.1	0	0	0.4	0	0	0	0	0.1	0	0	0	0	0	0.7	1	0	0.5	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"S48"	6	"X"	"W4"	0	0	0	0	0	0	0	0	3.3	0	0.5	0	0	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	7.1	0	0	0	0	0	0	1.3	0	0.2	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
